,url,sentiment,isExperiential,isPolitical,isInsult,topics
1358446181362335748,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/ImamovaSudabe/status/1358446181362335748&entry.653903203=27777&usp=pp_url
",Negative,No,No,No,['Crime&justice']
1559251398381928449,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/Sirac021/status/1559251398381928449&entry.653903203=27777&usp=pp_url
",Negative,Yes,Yes,No,['Inflation&poverty']
1588078351914254338,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/TUzlasma/status/1588078351914254338&entry.653903203=27777&usp=pp_url
",Negative,Yes,Yes,No,['Crime&justice']
1586748979022364672,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/dtmrt77/status/1586748979022364672&entry.653903203=27777&usp=pp_url
",Neutral,Yes,No,No,['Inflation&poverty']
1590004605597147137,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/futureMyIslam/status/1590004605597147137&entry.653903203=27777&usp=pp_url
",Neutral,No,Yes,No,['Religion']
1546441451499839488,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/sebo5858/status/1546441451499839488&entry.653903203=27777&usp=pp_url
",Neutral,Yes,Yes,No,"['News', 'Election']"
1596398635058692096,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/jghpkbghj/status/1596398635058692096&entry.653903203=27777&usp=pp_url
",Neutral,Yes,Yes,No,['Election']
1554708562634575874,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/bahadirsabir/status/1554708562634575874&entry.653903203=27777&usp=pp_url
",Negative,Yes,Yes,No,"['News', 'Education', 'Election']"
1597920484800139266,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/1580gk/status/1597920484800139266&entry.653903203=27777&usp=pp_url
",Neutral,Yes,Yes,No,"['Election', 'Crime&justice']"
1394067974474981376,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/iamurwinter/status/1394067974474981376&entry.653903203=27777&usp=pp_url
",Neutral,No,No,No,['nan']
1593692042915356673,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/mhny71/status/1593692042915356673&entry.653903203=27777&usp=pp_url
",Negative,Yes,Yes,No,"['Economy', 'Inflation&poverty']"
1571966189764579332,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/ghostsolgiers/status/1571966189764579332&entry.653903203=27777&usp=pp_url
",Negative,Yes,Yes,Yes,['News']
1591987769802645505,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/nkulunk/status/1591987769802645505&entry.653903203=27777&usp=pp_url
",Neutral,No,No,No,['nan']
1579559593939988480,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/turkiyem_affet/status/1579559593939988480&entry.653903203=27777&usp=pp_url
",Negative,Yes,Yes,No,['Crime&justice']
1571725048511340544,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/HaberEsha/status/1571725048511340544&entry.653903203=27777&usp=pp_url
",Neutral,No,No,No,['News']
1587887248825090052,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/diedora61/status/1587887248825090052&entry.653903203=27777&usp=pp_url
",Neutral,No,Yes,No,['nan']
1584957625208561664,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/Mustafa76819402/status/1584957625208561664&entry.653903203=27777&usp=pp_url
",Neutral,Yes,Yes,No,"['Inflation&poverty', 'Unemployment', 'Education']"
