,url,isOrganizational,isBot,isTroll,gender
ferahdiba41,"https://docs.google.com/forms/d/e/1FAIpQLSeFf-DH8zs9gbESljXLtJb1g2xBtRpLgIOEwwvN6BeyDADq4w/viewform?entry.471770043=https://twitter.com/ferahdiba41&entry.1108662262=26581&usp=pp_url
",No,No,No,Female
bekir_bykdeveci,"https://docs.google.com/forms/d/e/1FAIpQLSeFf-DH8zs9gbESljXLtJb1g2xBtRpLgIOEwwvN6BeyDADq4w/viewform?entry.471770043=https://twitter.com/bekir_bykdeveci&entry.1108662262=26581&usp=pp_url
",No,Not sure,No,Male
alfredofoot,"https://docs.google.com/forms/d/e/1FAIpQLSeFf-DH8zs9gbESljXLtJb1g2xBtRpLgIOEwwvN6BeyDADq4w/viewform?entry.471770043=https://twitter.com/Alfredofoot&entry.1108662262=26581&usp=pp_url
",No,No,No,Male
bilgin21604923,"https://docs.google.com/forms/d/e/1FAIpQLSeFf-DH8zs9gbESljXLtJb1g2xBtRpLgIOEwwvN6BeyDADq4w/viewform?entry.471770043=https://twitter.com/Bilgin21604923&entry.1108662262=26581&usp=pp_url
",No,No,No,Male
gundem724com,"https://docs.google.com/forms/d/e/1FAIpQLSeFf-DH8zs9gbESljXLtJb1g2xBtRpLgIOEwwvN6BeyDADq4w/viewform?entry.471770043=https://twitter.com/gundem724com&entry.1108662262=26581&usp=pp_url
",No,No,Yes,Not sure
g56967667,"https://docs.google.com/forms/d/e/1FAIpQLSeFf-DH8zs9gbESljXLtJb1g2xBtRpLgIOEwwvN6BeyDADq4w/viewform?entry.471770043=https://twitter.com/G56967667&entry.1108662262=26581&usp=pp_url
",No,No,No,Not sure
eeyyluull,"https://docs.google.com/forms/d/e/1FAIpQLSeFf-DH8zs9gbESljXLtJb1g2xBtRpLgIOEwwvN6BeyDADq4w/viewform?entry.471770043=https://twitter.com/eeyyluull&entry.1108662262=26581&usp=pp_url
",No,Yes,No,Female
gezsed,"https://docs.google.com/forms/d/e/1FAIpQLSeFf-DH8zs9gbESljXLtJb1g2xBtRpLgIOEwwvN6BeyDADq4w/viewform?entry.471770043=https://twitter.com/gezsed&entry.1108662262=26581&usp=pp_url
",No,No,No,Female
yamahatr34,"https://docs.google.com/forms/d/e/1FAIpQLSeFf-DH8zs9gbESljXLtJb1g2xBtRpLgIOEwwvN6BeyDADq4w/viewform?entry.471770043=https://twitter.com/YamahaTR34&entry.1108662262=26581&usp=pp_url
",No,No,Yes,Male
abdullah__duran,"https://docs.google.com/forms/d/e/1FAIpQLSeFf-DH8zs9gbESljXLtJb1g2xBtRpLgIOEwwvN6BeyDADq4w/viewform?entry.471770043=https://twitter.com/Abdullah__Duran&entry.1108662262=26581&usp=pp_url
",No,No,No,Male
damlavlonyaa,"https://docs.google.com/forms/d/e/1FAIpQLSeFf-DH8zs9gbESljXLtJb1g2xBtRpLgIOEwwvN6BeyDADq4w/viewform?entry.471770043=https://twitter.com/damlavlonyaa&entry.1108662262=26581&usp=pp_url
",No,No,No,Female
ilknurummm,"https://docs.google.com/forms/d/e/1FAIpQLSeFf-DH8zs9gbESljXLtJb1g2xBtRpLgIOEwwvN6BeyDADq4w/viewform?entry.471770043=https://twitter.com/ilknurummm&entry.1108662262=26581&usp=pp_url
",No,No,Yes,Female
ozerztrk61,"https://docs.google.com/forms/d/e/1FAIpQLSeFf-DH8zs9gbESljXLtJb1g2xBtRpLgIOEwwvN6BeyDADq4w/viewform?entry.471770043=https://twitter.com/Ozerztrk61&entry.1108662262=26581&usp=pp_url
",No,Yes,No,Male
