,url,sentiment,isExperiential,isPolitical,isInsult,topics
1356926480605982728,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/Mucahityilmz61/status/1356926480605982728&entry.653903203=28452&usp=pp_url
",Positive,Yes,No,No,['nan']
1572249036215943168,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/TurkiyeCanli_/status/1572249036215943168&entry.653903203=28452&usp=pp_url
",Neutral,No,Yes,No,"['News', 'Democracy', 'Foreignpolicy']"
1587294794577055747,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/senemozkocak/status/1587294794577055747&entry.653903203=28452&usp=pp_url
",Negative,No,Yes,No,['Democracy']
1591097938763472896,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/satici_tekin/status/1591097938763472896&entry.653903203=28452&usp=pp_url
",Negative,No,Yes,No,"['Democracy', 'Election']"
1427018746317713412,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/Evrem_ts/status/1427018746317713412&entry.653903203=28452&usp=pp_url
",Positive,Yes,No,No,['nan']
1594372351768121345,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/erenerdemnet/status/1594372351768121345&entry.653903203=28452&usp=pp_url
",Negative,Yes,Yes,Yes,['Election']
1589993032975544320,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/hasannegr/status/1589993032975544320&entry.653903203=28452&usp=pp_url
",Negative,Yes,Yes,Yes,"['Democracy', 'Election', 'Crime&justice', 'Terrorism']"
1585037843323580416,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/ozhuseyin28/status/1585037843323580416&entry.653903203=28452&usp=pp_url
",Negative,Yes,Yes,Yes,['Democracy']
1594425657060212739,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/BuseAks02238136/status/1594425657060212739&entry.653903203=28452&usp=pp_url
",Neutral,Yes,No,No,"['Economy', 'Unemployment']"
1439547067337256967,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/_melek_3451/status/1439547067337256967&entry.653903203=28452&usp=pp_url
",Neutral,Yes,No,No,['nan']
1578307096000417792,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/AliErz17/status/1578307096000417792&entry.653903203=28452&usp=pp_url
",Neutral,No,Yes,No,['Crime&justice']
1591335694253035520,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/matadorr333/status/1591335694253035520&entry.653903203=28452&usp=pp_url
",Neutral,Yes,Yes,No,['nan']
1585679196885598209,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/nihalokur43/status/1585679196885598209&entry.653903203=28452&usp=pp_url
",Neutral,No,No,No,['Religion']
1590128884061995008,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/Kemal08131613/status/1590128884061995008&entry.653903203=28452&usp=pp_url
",Neutral,Yes,No,No,['Unemployment']
1597554281015828480,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/AbdulkerimCi/status/1597554281015828480&entry.653903203=28452&usp=pp_url
",Neutral,Yes,No,No,['Unemployment']
1596618862908227584,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/tvitdeist/status/1596618862908227584&entry.653903203=28452&usp=pp_url
",Negative,No,Yes,Yes,"['Economy', 'Inflation&poverty', 'Election']"
1591134795379396608,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/nurayytugbaa/status/1591134795379396608&entry.653903203=28452&usp=pp_url
",Neutral,Yes,No,No,['Unemployment']
1578448632533028865,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/osman43026850/status/1578448632533028865&entry.653903203=28452&usp=pp_url
",Neutral,No,No,No,['Unemployment']
1420407025847132171,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/btsmembo/status/1420407025847132171&entry.653903203=28452&usp=pp_url
",Neutral,No,No,No,['nan']
1576197567578529792,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/GAMZEYL33996220/status/1576197567578529792&entry.653903203=28452&usp=pp_url
",,,,,
1551163840368414722,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/SED58417690/status/1551163840368414722&entry.653903203=28452&usp=pp_url
",Neutral,Yes,No,No,['Unemployment']
1589260682624929792,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/Memetr38/status/1589260682624929792&entry.653903203=28452&usp=pp_url
",Negative,Yes,Yes,No,"['Economy', 'Inflation&poverty']"
1562157165925875712,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/bllkctrk/status/1562157165925875712&entry.653903203=28452&usp=pp_url
",Negative,Yes,No,No,['Crime&justice']
1408498690478772225,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/MahmutM54097409/status/1408498690478772225&entry.653903203=28452&usp=pp_url
",Neutral,Yes,No,No,['nan']
1594401616400097282,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/Ali42646348/status/1594401616400097282&entry.653903203=28452&usp=pp_url
",Neutral,Yes,No,No,['Unemployment']
1430265986133934084,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/ardamedeiros/status/1430265986133934084&entry.653903203=28452&usp=pp_url
",Negative,Yes,No,No,['nan']
1596247312158064640,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/emmoglu44/status/1596247312158064640&entry.653903203=28452&usp=pp_url
",Negative,Yes,Yes,Yes,"['Democracy', 'Election', 'Nationalsecurity']"
1402340935455891462,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/DVeyd3/status/1402340935455891462&entry.653903203=28452&usp=pp_url
",Negative,Yes,No,No,['Sports']
