,url,sentiment,isExperiential,isPolitical,isInsult,topics
1.35692648060598E+018,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/Mucahityilmz61/status/1356926480605982728&entry.653903203=28452&usp=pp_url
",Positive,Yes,No,No,['nan']
1.57224903621594E+018,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/TurkiyeCanli_/status/1572249036215943168&entry.653903203=28452&usp=pp_url
",Neutral,No,Yes,No,"['News', 'Democracy', 'Foreignpolicy']"
1.58729479457706E+018,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/senemozkocak/status/1587294794577055747&entry.653903203=28452&usp=pp_url
",Negative,No,Yes,No,['Democracy']
1.59109793876347E+018,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/satici_tekin/status/1591097938763472896&entry.653903203=28452&usp=pp_url
",Negative,No,Yes,No,"['Democracy', 'Election']"
1.42701874631771E+018,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/Evrem_ts/status/1427018746317713412&entry.653903203=28452&usp=pp_url
",Positive,Yes,No,No,['nan']
1.59437235176812E+018,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/erenerdemnet/status/1594372351768121345&entry.653903203=28452&usp=pp_url
",Negative,Yes,Yes,Yes,['Election']
1.58999303297554E+018,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/hasannegr/status/1589993032975544320&entry.653903203=28452&usp=pp_url
",Negative,Yes,Yes,Yes,"['Democracy', 'Election', 'Crime&justice', 'Terrorism']"
1.58503784332358E+018,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/ozhuseyin28/status/1585037843323580416&entry.653903203=28452&usp=pp_url
",Negative,Yes,Yes,Yes,['Democracy']
1.59442565706021E+018,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/BuseAks02238136/status/1594425657060212739&entry.653903203=28452&usp=pp_url
",Neutral,Yes,No,No,"['Economy', 'Unemployment']"
1.43954706733726E+018,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/_melek_3451/status/1439547067337256967&entry.653903203=28452&usp=pp_url
",Neutral,Yes,No,No,['nan']
1.57830709600042E+018,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/AliErz17/status/1578307096000417792&entry.653903203=28452&usp=pp_url
",Neutral,No,Yes,No,['Crime&justice']
1.59133569425304E+018,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/matadorr333/status/1591335694253035520&entry.653903203=28452&usp=pp_url
",Neutral,Yes,Yes,No,['nan']
1.5856791968856E+018,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/nihalokur43/status/1585679196885598209&entry.653903203=28452&usp=pp_url
",Neutral,No,No,No,['Religion']
1.590128884062E+018,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/Kemal08131613/status/1590128884061995008&entry.653903203=28452&usp=pp_url
",Neutral,Yes,No,No,['Unemployment']
1.59755428101583E+018,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/AbdulkerimCi/status/1597554281015828480&entry.653903203=28452&usp=pp_url
",Neutral,Yes,No,No,['Unemployment']
1.59661886290823E+018,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/tvitdeist/status/1596618862908227584&entry.653903203=28452&usp=pp_url
",Negative,No,Yes,Yes,"['Economy', 'Inflation&poverty', 'Election']"
1.5911347953794E+018,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/nurayytugbaa/status/1591134795379396608&entry.653903203=28452&usp=pp_url
",Neutral,Yes,No,No,['Unemployment']
1.57844863253303E+018,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/osman43026850/status/1578448632533028865&entry.653903203=28452&usp=pp_url
",Neutral,No,No,No,['Unemployment']
