,url,sentiment,isExperiential,isPolitical,isInsult,topics
1560651240144457732,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/Atamatam1907/status/1560651240144457732&entry.653903203=28339&usp=pp_url
",Neutral,Yes,Yes,No,['News']
1585333614304145408,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/kayabey0221/status/1585333614304145408&entry.653903203=28339&usp=pp_url
",Neutral,No,Yes,No,"['News', 'Crime&justice', 'Foreignpolicy']"
1381519198237642755,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/BigBros1903/status/1381519198237642755&entry.653903203=28339&usp=pp_url
",Neutral,No,No,No,['Economy']
1559963768372740098,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/awfhdsr6/status/1559963768372740098&entry.653903203=28339&usp=pp_url
",Neutral,Yes,Yes,No,['Economy']
1595516712803528709,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/muratdemirkay11/status/1595516712803528709&entry.653903203=28339&usp=pp_url
",Positive,No,No,No,['nan']
1560316245848760323,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/GreatThracian/status/1560316245848760323&entry.653903203=28339&usp=pp_url
",Neutral,No,Yes,No,['News']
1593395246737547266,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/Mustafa76819402/status/1593395246737547266&entry.653903203=28339&usp=pp_url
",Neutral,No,Yes,No,['Unemployment']
1597274845381029888,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/ygzunsl/status/1597274845381029888&entry.653903203=28339&usp=pp_url
",Neutral,No,Yes,No,['Crime&justice']
1597515055217938432,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/teknikci_/status/1597515055217938432&entry.653903203=28339&usp=pp_url
",Neutral,No,Yes,No,['Unemployment']
1594246341969985544,"https://docs.google.com/forms/d/e/1FAIpQLSffZugycOX3tUHW3uGhn5Cw0pj0fJDeIQf5oJ3EzZ-2vuj6Gg/viewform?entry.1274744182=https://twitter.com/ibrahimavcu10/status/1594246341969985544&entry.653903203=28339&usp=pp_url
",Neutral,No,Yes,No,['Economy']
